query,cluster,intent,az_relevant,gap_type,search_volume,cpc,competition_level,keyword_difficulty,our_position,our_collection,our_url,competitor_position,competitor_domain,competitor_url,priority_score
medical malpractice lawyers in las vegas nevada,abuse-negligence,commercial,False,head_commercial,1900,20.65999984741211,LOW,,,none,,53,lernerandrowe.com,https://lernerandrowe.com/nevada/las-vegas/medical-malpractice/,380.0
medical malpractice lawyers in las vegas nv,abuse-negligence,commercial,False,head_commercial,1900,20.65999984741211,LOW,,,none,,57,lernerandrowe.com,https://lernerandrowe.com/nevada/las-vegas/medical-malpractice/,380.0
medical malpractice lawyers las vegas nevada,abuse-negligence,commercial,False,head_commercial,1900,20.65999984741211,LOW,,,none,,59,lernerandrowe.com,https://lernerandrowe.com/nevada/las-vegas/medical-malpractice/,380.0
nashville car accident attorneys,vehicle-crashes,commercial,False,head_commercial,1900,50.7400016784668,LOW,,,none,,64,lernerandrowe.com,https://lernerandrowe.com/nashville/,380.0
nashville car accident lawyer,vehicle-crashes,commercial,False,head_commercial,1900,50.7400016784668,LOW,,,none,,75,lernerandrowe.com,https://lernerandrowe.com/nashville/,380.0
nashville car wreck lawyer,vehicle-crashes,commercial,False,head_commercial,1900,50.7400016784668,LOW,,,none,,77,lernerandrowe.com,https://lernerandrowe.com/nashville/,380.0
new york wrongful death attorney,other-claims,commercial,False,head_commercial,1900,34.189998626708984,LOW,,,none,,77,lernerandrowe.com,https://lernerandrowe.com/,380.0
personal injury attorney anaheim,unknown,commercial,False,head_commercial,1900,15.569999694824219,LOW,,,none,,30,lernerandrowe.com,https://lernerandrowe.com/california/anaheim/,380.0
personal injury attorney il,unknown,commercial,False,head_commercial,1900,30.760000228881836,LOW,,,none,,27,lernerandrowe.com,https://lernerandrowe.com/illinois/chicago/,380.0
personal injury attorney illinois,unknown,commercial,False,head_commercial,1900,30.760000228881836,LOW,,,none,,37,lernerandrowe.com,https://lernerandrowe.com/illinois/chicago/,380.0
personal injury attorney in anaheim ca,unknown,commercial,False,head_commercial,1900,15.569999694824219,LOW,,,none,,30,lernerandrowe.com,https://lernerandrowe.com/california/anaheim/,380.0
personal injury attorney portland,unknown,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,55,lernerandrowe.com,https://lernerandrowe.com/portland/,380.0
personal injury attorney portland oregon,unknown,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,70,lernerandrowe.com,https://lernerandrowe.com/portland/,380.0
personal injury attorneys in portland oregon,unknown,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,70,lernerandrowe.com,https://lernerandrowe.com/portland/,380.0
personal injury attorneys portland,unknown,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,55,lernerandrowe.com,https://lernerandrowe.com/portland/,380.0
personal injury attorneys portland or,unknown,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,34,lernerandrowe.com,https://lernerandrowe.com/,380.0
personal injury defense attorneys,unknown,commercial,False,head_commercial,1900,70.2300033569336,MEDIUM,,,none,,8,lernerandrowe.com,https://lernerandrowe.com/,380.0
personal injury lawyer anaheim ca,meta,commercial,False,head_commercial,1900,15.569999694824219,LOW,,,none,,12,lernerandrowe.com,https://lernerandrowe.com/california/anaheim/,380.0
personal injury lawyer illinois,meta,commercial,False,head_commercial,1900,30.760000228881836,LOW,,,none,,42,lernerandrowe.com,https://lernerandrowe.com/illinois/chicago/,380.0
personal injury lawyer in portland,meta,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,80,lernerandrowe.com,https://lernerandrowe.com/portland/,380.0
personal injury lawyer portland,meta,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,62,lernerandrowe.com,https://lernerandrowe.com/portland/,380.0
personal injury lawyers anaheim,meta,commercial,False,head_commercial,1900,15.569999694824219,LOW,,,none,,28,lernerandrowe.com,https://lernerandrowe.com/california/anaheim/,380.0
personal injury lawyers in portland,meta,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,79,lernerandrowe.com,https://lernerandrowe.com/portland/,380.0
personal injury lawyers portland,meta,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,55,lernerandrowe.com,https://lernerandrowe.com/portland/,380.0
personal injury near me,unknown,commercial,False,head_commercial,1900,57.880001068115234,MEDIUM,,,none,,17,lernerandrowe.com,https://lernerandrowe.com/nevada/henderson/,380.0
portland auto accident attorney,vehicle-crashes,commercial,False,head_commercial,1900,229.57000732421875,LOW,,,none,,53,lernerandrowe.com,https://lernerandrowe.com/portland/car-accident-lawyer/,380.0
portland auto accident lawyers,vehicle-crashes,commercial,False,head_commercial,1900,229.57000732421875,LOW,,,none,,62,lernerandrowe.com,https://lernerandrowe.com/portland/car-accident-lawyer/,380.0
portland car accident attorney,vehicle-crashes,commercial,False,head_commercial,1900,229.57000732421875,LOW,,,none,,60,lernerandrowe.com,https://lernerandrowe.com/portland/car-accident-lawyer/,380.0
portland car accident lawyer,vehicle-crashes,commercial,False,head_commercial,1900,229.57000732421875,LOW,,,none,,40,lernerandrowe.com,https://lernerandrowe.com/portland/car-accident-lawyer/,380.0
portland oregon personal injury attorney,unknown,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,77,lernerandrowe.com,https://lernerandrowe.com/portland/,380.0
portland oregon personal injury attorneys,unknown,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,56,lernerandrowe.com,https://lernerandrowe.com/,380.0
portland oregon personal injury lawyer,meta,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,75,lernerandrowe.com,https://lernerandrowe.com/portland/,380.0
portland oregon personal injury lawyers,meta,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,69,lernerandrowe.com,https://lernerandrowe.com/portland/,380.0
portland personal injury lawyer,meta,commercial,False,head_commercial,1900,73.01000213623047,LOW,,,none,,64,lernerandrowe.com,https://lernerandrowe.com/portland/,380.0
the carlson law firm injury lawyers,vehicle-crashes,commercial,False,head_commercial,1900,12.359999656677246,LOW,,,none,,38,lernerandrowe.com,https://lernerandrowe.com/jonathan-carlson/,380.0
train wreck attorneys,unknown,commercial,False,head_commercial,1900,442.1499938964844,LOW,,,none,,66,lernerandrowe.com,https://lernerandrowe.com/illinois/chicago/,380.0
train wreck lawyer,meta,commercial,False,head_commercial,1900,442.1499938964844,LOW,,,none,,52,lernerandrowe.com,https://lernerandrowe.com/indiana/indianapolis/car-accident-lawyers/,380.0
wrongful death lawyers nyc,other-claims,commercial,False,head_commercial,1900,34.189998626708984,LOW,,,none,,95,lernerandrowe.com,https://lernerandrowe.com/,380.0
ars 28-663,meta,informational,True,almost,260,0.0,LOW,,15,legal-guide,https://azlawnow.com/legal-guides/arizona-hit-and-run-law/,,,,325.0
accident attorney glendale,vehicle-crashes,commercial,True,head_commercial,1300,11.59000015258789,LOW,,,none,,19,lernerandrowe.com,https://lernerandrowe.com/,325.0
arizona auto accident attorney,vehicle-crashes,commercial,True,head_commercial,1300,208.67999267578125,LOW,,,none,,3,lernerandrowe.com,https://lernerandrowe.com/,325.0
arizona auto accident lawyer,vehicle-crashes,commercial,True,head_commercial,1300,208.67999267578125,LOW,,,none,,32,lernerandrowe.com,https://lernerandrowe.com/arizona/phoenix/,325.0
arizona car accident attorney,vehicle-crashes,commercial,True,head_commercial,1300,208.67999267578125,LOW,,,none,,43,lernerandrowe.com,https://lernerandrowe.com/arizona/tucson/,325.0
arizona workers comp lawyer,meta,commercial,True,head_commercial,1300,48.81999969482422,LOW,,,none,,16,lernerandrowe.com,https://lernerandrowe.com/practice/workers-compensation/,325.0
